"","pop","fun","family","temp","rep","date","stage","num","count","per","fail","prop","success","ffun","ftemp","fpop","Failure","E1","Success","PRes2","PER","PERT"
"2401","FF","pev_tul","Tul","RT",2401,"D124",2,209,5,2.392344498,97.6076555,0.023923445,0.0239234449760766,"pev_tul","RT","FF",204,-0.156055202422878,0.0239234449760766,-0.754842730940942,0.02392344498,0.0266595171352874
"2402","FF","pev_tul","Tul","RT",2402,"D124",2,179,9,5.027932961,94.97206704,0.05027933,0.0502793296089385,"pev_tul","RT","FF",170,-0.0498977821814287,0.0502793296089385,0.654842176006075,0.05027932961,0.0528639311639655
"2403","FF","pev_tul","Tul","RT",2403,"D124",2,133,0,0,100,0,0,"pev_tul","RT","FF",133,-0.252415132587175,0,-1.8103976815492,0,0.0028735632183908
"2404","FF","pev_tul","Tul","RT",2404,"D124",2,200,5,2.5,97.5,0.025,0.025,"pev_tul","RT","FF",195,-0.151719005581999,0.025,-0.688205712510984,0.025,0.0277298850574713
"2405","FF","pev_tul","Tul","RT",2405,"D124",2,188,7,3.723404255,96.27659574,0.037234043,0.0372340425531915,"pev_tul","RT","FF",181,-0.102442177485938,0.0372340425531915,-0.0281355746047304,0.03723404255,0.0398936170181034
"2406","FF","pev_tul","Tul","RT",2406,"D124",2,133,5,3.759398496,96.2406015,0.037593985,0.037593984962406,"pev_tul","RT","FF",128,-0.100992385220662,0.037593984962406,-0.00817791673595279,0.03759398496,0.0402514907935632
"2407","FF","pev_tul","Tul","RT",2407,"D124",2,258,6,2.325581395,97.6744186,0.023255814,0.0232558139534884,"pev_tul","RT","FF",252,-0.158744316782457,0.0232558139534884,-0.833022936568592,0.02325581395,0.0259957230652299
"2408","FF","pev_tul","Tul","RT",2408,"D124",2,170,14,8.235294118,91.76470588,0.082352941,0.0823529411764706,"pev_tul","RT","FF",156,0.0792897563852669,0.0823529411764706,2.29967310799758,0.08235294118,0.0847532116329885
"2409","FF","pev_tul","Tul","RT",2409,"D124",2,175,13,7.428571429,92.57142857,0.074285714,0.0742857142857143,"pev_tul","RT","FF",162,0.0467962162454666,0.0742857142857143,1.89901957688926,0.07428571429,0.0767323481159195
"2410","FF","pev_tul","Tul","RT",2410,"D124",2,124,0,0,100,0,0,"pev_tul","RT","FF",124,-0.252415132587175,0,-1.77067625632938,0,0.0028735632183908
"2411","FF","pev_tul","Tul","GC",2411,"D124",2,184,85,46.19565217,53.80434783,0.461956522,0.46195652173913,"pev_tul","GC","FF",99,0.0444897302649476,0.46195652173913,0.493803299003608,0.4619565217,0.462175162379885
"2412","FF","pev_tul","Tul","GC",2412,"D124",2,169,65,38.46153846,61.53846154,0.384615385,0.384615384615385,"pev_tul","GC","FF",104,-0.110419568154867,0.384615384615385,-0.0677532026024203,0.3846153846,0.385278514573563
"2413","FF","pev_tul","Tul","GC",2413,"D124",2,159,52,32.70440252,67.29559748,0.327044025,0.327044025157233,"pev_tul","GC","FF",107,-0.225731279724323,0.327044025157233,-0.483694184664894,0.3270440252,0.328038025055172
"2414","FF","pev_tul","Tul","GC",2414,"D124",2,196,58,29.59183673,70.40816327,0.295918367,0.295918367346939,"pev_tul","GC","FF",138,-0.288073960591685,0.295918367346939,-0.713556058247877,0.2959183673,0.297091250246552
"2415","FF","pev_tul","Tul","GC",2415,"D124",2,184,78,42.39130435,57.60869565,0.423913043,0.423913043478261,"pev_tul","GC","FF",106,-0.0317088975078979,0.423913043478261,0.217484624270806,0.4239130435,0.424350324859195
"2416","FF","pev_tul","Tul","GC",2416,"D124",2,172,71,41.27906977,58.72093023,0.412790698,0.412790697674419,"pev_tul","GC","FF",101,-0.0539862372169434,0.412790697674419,0.136399267867978,0.4127906977,0.413291900586782
"2417","FF","pev_tul","Tul","GC",2417,"D124",2,163,94,57.66871166,42.33128834,0.576687117,0.576687116564417,"pev_tul","GC","FF",69,0.274287695871105,0.576687116564417,1.32173445552562,0.5766871166,0.576246386044828
"2418","FF","pev_tul","Tul","GC",2418,"D124",2,315,157,49.84126984,50.15873016,0.498412698,0.498412698412698,"pev_tul","GC","FF",158,0.117509095733596,0.498412698412698,0.768789940813214,0.4984126984,0.498421820822989
"2419","FF","pev_tul","Tul","GC",2419,"D124",2,183,90,49.18032787,50.81967213,0.491803279,0.491803278688525,"pev_tul","GC","FF",93,0.104270855295455,0.491803278688525,0.710464282638193,0.4918032787,0.491850386293678
"2420","FF","pev_tul","Tul","GC",2420,"D124",2,227,107,47.13656388,52.86343612,0.471365639,0.47136563876652,"pev_tul","GC","FF",120,0.0633355836279034,0.47136563876652,0.565548245912387,0.4713656388,0.471530204094253
"2421","FF","pff_tul","Tul","RT",2421,"D124",2,203,1,0.492610837,99.50738916,0.004926108,0.00492610837438424,"pff_tul","RT","FF",202,-0.227542012523304,0.00492610837438424,-1.55982794290419,0.00492610837,0.00777136062074713
"2422","FF","pff_tul","Tul","RT",2422,"D124",2,135,0,0,100,0,0,"pff_tul","RT","FF",135,-0.247686594558483,0,-1.65394879833503,0,0.0028735632183908
"2424","FF","pff_tul","Tul","RT",2424,"D124",2,220,8,3.636363636,96.36363636,0.036363636,0.0363636363636364,"pff_tul","RT","FF",212,-0.0989829525085934,0.0363636363636364,0.527865875406982,0.03636363636,0.0390282131625287
"2426","FF","pff_tul","Tul","RT",2426,"D124",2,203,7,3.448275862,96.55172414,0.034482759,0.0344827586206897,"pff_tul","RT","FF",196,-0.106674520189548,0.0344827586206897,0.391446797301836,0.03448275862,0.0371581450647126
"2427","FF","pff_tul","Tul","RT",2427,"D124",2,183,4,2.18579235,97.81420765,0.021857923,0.0218579234972678,"pff_tul","RT","FF",179,-0.158301891666853,0.0218579234972678,-0.428346706000199,0.0218579235,0.0246058664683908
"2428","FF","pff_tul","Tul","RT",2428,"D124",2,170,5,2.941176471,97.05882353,0.029411765,0.0294117647058824,"pff_tul","RT","FF",165,-0.127411589930442,0.0294117647058824,0.0536621782882079,0.02941176471,0.0321162947978736
"2429","FF","pff_tul","Tul","RT",2429,"D124",2,141,8,5.673758865,94.32624113,0.056737589,0.0567375886524823,"pff_tul","RT","FF",133,-0.0156667275172352,0.0567375886524823,1.65696772316951,0.05673758865,0.0592850737727011
"2430","FF","pff_tul","Tul","RT",2430,"D124",2,155,8,5.161290323,94.83870968,0.051612903,0.0516129032258065,"pff_tul","RT","FF",147,-0.036623360642965,0.0516129032258065,1.39918075259651,0.05161290323,0.0541898405677586
"2431","FF","pff_tul","Tul","GC",2431,"D124",2,305,0,0,100,0,0,"pff_tul","GC","FF",305,-0.27516852036736,0,-2.86143818846439,0,0.0028735632183908
"2432","FF","pff_tul","Tul","GC",2432,"D124",2,379,133,35.09234828,64.90765172,0.350923483,0.350923482849604,"pff_tul","GC","FF",246,1.04442888041787,0.350923482849604,0.632998628076737,0.3509234828,0.351780244393103
"2433","FF","pff_tul","Tul","GC",2433,"D124",2,276,61,22.10144928,77.89855072,0.221014493,0.221014492753623,"pff_tul","GC","FF",215,0.55592476500552,0.221014492753623,-0.660890751316975,0.2210144928,0.222617857783908
"2434","FF","pff_tul","Tul","GC",2434,"D124",2,189,54,28.57142857,71.42857143,0.285714286,0.285714285714286,"pff_tul","GC","FF",135,0.799219052013498,0.285714285714286,-0.0191739096989579,0.2857142857,0.286945812793678
"2435","FF","pff_tul","Tul","GC",2435,"D124",2,290,0,0,100,0,0,"pff_tul","GC","FF",290,-0.27516852036736,0,-2.85675786546018,0,0.0028735632183908
"2436","FF","pff_tul","Tul","GC",2436,"D124",2,266,0,0,100,0,0,"pff_tul","GC","FF",266,-0.27516852036736,0,-2.8482307943455,0,0.0028735632183908
"2437","FF","pff_tul","Tul","GC",2437,"D124",2,385,146,37.92207792,62.07792208,0.379220779,0.379220779220779,"pff_tul","GC","FF",239,1.15083680296767,0.379220779220779,0.916588930330978,0.3792207792,0.379914912652874
