,pop,fun,family,temp,rep,date,stage,num,count,count,total_count,per_old,per,per_arc,fail,fail_arc,per_arc_pi,per_log,ffun,ftemp,fpop,success_old,Failure_old,PRes2,PER,PERT,E1,PER.01,PER.01.flip,Success_old,success1_old
1,FF,pev_tul,Tul,RT,2201,D124,1,209,82,5,87,39.23444976,0.416267943,0.676893017,60.76555024,0.89390331,38.78311305,3.694723588,pev_tul,RT,FF,0.392344498,127,0.200454972,0.392344498,0.392963207,0.01642662,1,0,0.392344498,82
2,FF,pev_tul,Tul,RT,2202,D124,1,179,73,9,82,40.78212291,0.458100559,0.692689083,59.21787709,0.878107243,39.688161,3.732468566,pev_tul,RT,FF,0.407821229,106,0.316094188,0.407821229,0.408350992,0.439384134,1,0,0.407821229,73
3,FF,pev_tul,Tul,RT,2203,D124,1,133,0,0,0,0,0,0,100,1.570796327,0,0,pev_tul,RT,FF,0,133,-2.725019016,0,0.002873563,-9.256047313,0,1,0,0
4,FF,pev_tul,Tul,RT,2204,D124,1,200,107,5,112,53.5,0.56,0.82042681,46.5,0.750369517,47.00699361,3.998200702,pev_tul,RT,FF,0.535,93,1.279056997,0.535,0.534798851,4.148923452,1,0,0.535,107
5,FF,pev_tul,Tul,RT,2205,D124,1,188,62,7,69,32.9787234,0.367021277,0.611713452,67.0212766,0.959082875,35.04859906,3.525734547,pev_tul,RT,FF,0.329787234,126,-0.272380984,0.329787234,0.330765468,-1.741547873,1,0,0.329787234,62
6,FF,pev_tul,Tul,RT,2206,D124,1,133,67,5,72,50.37593985,0.541353383,0.789157597,49.62406015,0.781638729,45.2153997,3.939169967,pev_tul,RT,FF,0.503759398,66,1.026964913,0.503759399,0.503737793,2.645284483,1,0,0.503759398,67
7,FF,pev_tul,Tul,RT,2207,D124,1,258,115,6,121,44.57364341,0.468992248,0.731027508,55.42635659,0.839768818,41.88479093,3.819329554,pev_tul,RT,FF,0.445736434,143,0.608208611,0.445736434,0.446048294,1.775090504,1,0,0.445736434,115
8,FF,pev_tul,Tul,RT,2208,D124,1,170,69,14,83,40.58823529,0.488235294,0.690715658,59.41176471,0.880080668,39.57509207,3.727817322,pev_tul,RT,FF,0.405882353,101,0.300939338,0.405882353,0.406423259,0.376408673,1,0,0.405882353,69
9,FF,pev_tul,Tul,RT,2209,D124,1,175,46,13,59,26.28571429,0.337142857,0.538321909,73.71428571,1.032474417,30.84357343,3.306363279,pev_tul,RT,FF,0.262857143,129,-0.775683477,0.262857143,0.264220033,-3.494046318,1,0,0.262857143,46
10,FF,pev_tul,Tul,RT,2210,D124,1,124,0,0,0,0,0,0,100,1.570796327,0,0,pev_tul,RT,FF,0,124,-2.716169446,0,0.002873563,-8.937387497,0,1,0,0
11,FF,pev_tul,Tul,GC,2211,D124,1,184,44,85,129,23.91304348,0.701086957,0.510954028,76.08695652,1.059842299,29.27550931,3.215391501,pev_tul,GC,FF,0.239130435,140,-0.397731565,0.239130435,0.240629685,-0.819715647,1,0,0.239130435,44
12,FF,pev_tul,Tul,GC,2212,D124,1,169,69,65,134,40.82840237,0.792899408,0.693159908,59.17159763,0.877636419,39.71513723,3.733575591,pev_tul,GC,FF,0.408284024,100,1.23474631,0.408284024,0.408811127,4.192074542,1,0,0.408284024,69
